,0,1
315,CHRIS WALLACE:,"– that the head of your Operation Warp Speed, Dr. Slaoui –  "
316,DONALD TRUMP:,"I disagree with him.  Yeah, no, I disagree with both of them.  And he didn't say that.  He said it could be there, but it could also be much sooner.  I, I had him in my office 2 days ago.  "
317,CHRIS WALLACE:,"He talked, he talked about the summer, sir, before it's generally available, just like Dr. Redfield.  "
318,DONALD TRUMP:,He said it's a possibility that we'll have the answer before November 1st.  It could also be after that.  
319,CHRIS WALLACE:,"I, I'm talking about when it's generally available, not when it'll be –  "
320,DONALD TRUMP:,"It, well, we're going to deliver it right away.  We have the military all set up.  Logistically, they're all set up.  We have our military that delivers soldiers, and they can do 200,000 a day.  They're going to be delivering the vaccine  "
321,JOE BIDEN:,This is the same man who told you –  
322,DONALD TRUMP:,It's all set up.  
323,JOE BIDEN:,"– by Easter, this'd be gone away.  By the warm weather, it'd be gone, miraculous, like a miracle.  And by the way, maybe you can inject some bleach in your arm and that would take care of it.  This is the same man.  "
324,DONALD TRUMP:,"That was said sarcastically, and you know that.  "
325,JOE BIDEN:,That was him.  
326,DONALD TRUMP:,That was said sarcastically.  
327,JOE BIDEN:,"And so here's the deal.  This man is talking about a vaccine.  Every serious, every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning or the middle of next year to get it out if we get the vaccine.  And pray God we will.  "
328,CHRIS WALLACE:,"But, but, –  "
329,JOE BIDEN:,Pray God we will.  
330,CHRIS WALLACE:,"– Mr. Vice President, I want to pick up, though, on that.  "
331,DONALD TRUMP:,You'll have the vaccine sooner than that.  
332,CHRIS WALLACE:,"I, I want to pick up on this question, though.  You say the public can trust the scientists, but they can't trust President Trump.  In fact, you said that again tonight.  Your running mate, Senator Harris, goes further, saying that public health experts, quote ""will be muzzled, will be suppressed"".  Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?  "
333,JOE BIDEN:,No more than the question you just asked him.  You point it out.  He puts pressure and disagrees with his own scientists.  
334,CHRIS WALLACE:,But you're saying you can't –  
335,JOE BIDEN:,Everybody knows –
336,CHRIS WALLACE:,– (inaudible) Senator Harris –  
337,JOE BIDEN:,No.
338,CHRIS WALLACE:,– has said you can't trust the scientists.  
339,JOE BIDEN:,"No.  Well, no, no.  You can trust the scientists.  He didn't, she didn't say that.  You can trust the scientists.  "
340,CHRIS WALLACE:,"She, she said that public experts, quote, –  "
341,DONALD TRUMP:,She did say that.  
342,CHRIS WALLACE:,– will be muzzled –  
343,JOE BIDEN:,Yes.  
344,CHRIS WALLACE:,– will be suppressed.  
345,JOE BIDEN:,"Well, that's what he's going to try to do, but there's millions of scientists, thousands of scientists out there, like here at this great hospital, that don't work for him.  Their job doesn't depend on him.  That's not, they're the people, they're, and by the way, –  "
346,DONALD TRUMP:,I spoke to the scientists –  
347,JOE BIDEN:,And Fauci –   
348,DONALD TRUMP:,– that are in charge.  
349,JOE BIDEN:,"And by the way, –  "
350,DONALD TRUMP:,They will have –  
351,JOE BIDEN:,And –  
352,DONALD TRUMP:,– the vaccine very soon.  
353,JOE BIDEN:,"– that's, –  "
354,CHRIS WALLACE:,Let him finish. 
355,JOE BIDEN:,"Do you believe for a moment what he's telling you, in light of all the lies he's told you about the whole issue relating to COVID?  He still hasn't even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn't even tell you.  He's on record as saying it.  He panicked or he just looked at the stock market, one of the two.  Because guess what, a lot of people died.  And a lot more are going to die unless he gets a lot smarter a lot quicker and –  "
356,DONALD TRUMP:,So –  
357,CHRIS WALLACE:,Mr. President?  
358,DONALD TRUMP:,"Did you use the word ""smart""?  Uh, so you said you went to Delaware State, but you forgot the name of your college.  "
359,JOE BIDEN:,I didn't say.  
360,DONALD TRUMP:,You didn't go to Delaware State.  You graduated either the lowest or almost the lowest in your class.  Don't ever use the word smart with me.  Don't ever use that word.  
361,JOE BIDEN:,"Oh, give me a break.  "
362,DONALD TRUMP:,"Because, you know what, there's nothing smart about you, Joe.  Forty-seven years, you've done nothing.  "
363,JOE BIDEN:,"Well, let's have this debate, and we'll see –  "
364,DONALD TRUMP:,"And if you would've had – let me just tell you something, Joe. If you would've had the charge of what I was put through – I had to close the greatest economy in the history of our country, and by the way, now it's being built again, and it's going up fast."
365,JOE BIDEN:,"See, he –  "
366,CHRIS WALLACE:,"We're going to get to the economy in the next segment, sir.  "
367,JOE BIDEN:,Okay.  
368,DONALD TRUMP:,It's going up fast.  
369,CHRIS WALLACE:,Okay.  
370,DONALD TRUMP:,Look forward to talking about it.  
371,CHRIS WALLACE:,"When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next President.  I want to quickly go through several of those.  Re-openings, Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools.  Why, sir?  "
372,JOE BIDEN:,"Because he doesn't have a plan.  If I were running it, I know how, what the plan is.  You've got to provide these businesses the ability to have the money to be able to reopen with the PPE as well as with the sanitation they need.  You have to provide –  "
373,DONALD TRUMP:,Tell that to Nancy Pelosi.  
374,JOE BIDEN:,– them plastic – will he just shush for a minute?  
375,DONALD TRUMP:,Tell it to Nancy Pelosi.  
376,JOE BIDEN:,"And, by the way –"
377,DONALD TRUMP:,"And Schumer, Crying Chuck.  "
378,JOE BIDEN:,"Nancy Pelosi and Schumer, they have a plan.  He won't even meet with them.  The Republicans won't meet with them –  "
379,CHRIS WALLACE:,Okay.  
380,JOE BIDEN:,– in the Senate.  
381,CHRIS WALLACE:,Let –  
382,JOE BIDEN:,"And he, and he sits, he sits on his golf courses.  I mean, literally, –  "
383,DONALD TRUMP:,I'm not – okay.  
384,JOE BIDEN:,– think about it.  
385,DONALD TRUMP:,"You probably play more than I do, Joe.  "
386,JOE BIDEN:,Think about it.  
387,CHRIS WALLACE:,"Uh, what about this question of re-openings and the fact –"
388,DONALD TRUMP:,"Well, he wants to shut down this country –  "
389,JOE BIDEN:,Oh.  
390,DONALD TRUMP:,"– and I want to keep it open.  And we did a great thing by shutting it down,  "
391,JOE BIDEN:,You just admitted you shut it down.
392,DONALD TRUMP:,"Wait a minute, Joe, let me shut you down for a sec, Joe, just for 1 second.  We want to, he wants to shut down the country.  We just went through it.  We had to because we didn't know anything about the disease.  Now we've found that elderly people with heart problems and diabetes and different problems are very, very vulnerable.  We learned a lot.  Young children aren't, uh, even younger people aren't.  We've learned a lot, but he wants to shut it down.  More people will be hurt by continuing.  If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors all.  One of the reasons they shut down is because they want to keep it shut down until after the election –"
393,CHRIS WALLACE:,I want to –
394,DONALD TRUMP:,– on November 3rd –
395,CHRIS WALLACE:,– want to move on to another –
396,DONALD TRUMP:,– because it's a political thing.
397,CHRIS WALLACE:,I want to go on to another –
398,JOE BIDEN:,I got to respond to that –
399,DONALD TRUMP:,But those states –
400,CHRIS WALLACE:,"Gentleman, I want to move on to another –"
401,DONALD TRUMP:,– those states are not doing well that are shut down.
402,CHRIS WALLACE:,– subject (inaudible) –
403,JOE BIDEN:, I got to respond to that.
404,CHRIS WALLACE:,"President Trump, you have begun to increasingly question the effectiveness of masks as a disease preventer and in fact, recently you have cited the, the issue of, of waiters touching their masks and touching plates.  Are you questioning –"
405,DONALD TRUMP:,"No, I think masks are okay."
406,CHRIS WALLACE:,"– the efficacy of, of masks?"
407,DONALD TRUMP:,"You have to understand, if you look – I mean, I have a mask right here.  I put a mask on, you know, when I think I need it.  Tonight is an example.  Everybody's had a test, and you've had social distancing and all of the things that you have to, but I –"
408,JOE BIDEN:,Just like your rally.
409,DONALD TRUMP:,"– wear masks when needed.  When needed, I wear masks."
410,CHRIS WALLACE:,"Okay, let me ask –"
411,DONALD TRUMP:,"I don't, I don't wear masks like him.  Every time you see him, he's got a mask.  He could be speaking 200 feet away from it, and he shows up with the biggest mask I've ever seen.  I will say –"
412,CHRIS WALLACE:,Vice –
413,DONALD TRUMP:,I will say this –
414,CHRIS WALLACE:,"Vice President Biden, go ahead, sir."
415,JOE BIDEN:,"Look, the way to open businesses is give them the wherewithal to be able to open.  We provided money –"
416,CHRIS WALLACE:,"But I was asking, sir, about masks."
417,JOE BIDEN:,"Well masks, masks make a big difference.  His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we'd probably save up to 100,000 lives.  It matters."
418,DONALD TRUMP:,And they've also said the opposite.
419,JOE BIDEN:,It matters –
420,DONALD TRUMP:,They've also said the opposite.
421,JOE BIDEN:,"No, no serious person said the opposite.  No serious –"
422,DONALD TRUMP: ,They've also said –
423,CHRIS WALLACE:,"All right, I want to ask you –"
424,DONALD TRUMP:,"Dr. Fauci, Dr. Fauci said the opposite."
425,JOE BIDEN:,He did not say the opposite.
426,CHRIS WALLACE:,"I, I want to ask you – we've got –"
427,DONALD TRUMP:,He said very strongly –
428,CHRIS WALLACE:,– a little less than a minute left in the segment.
429,DONALD TRUMP:,– masks are not good.  Then he changed his mind.  He said masks are good.
430,CHRIS WALLACE:,"I, I –"
431,DONALD TRUMP:,I'm okay with masks.  I'm not fighting masks.
432,CHRIS WALLACE:,"– want to ask you both about one last subject, because your different approaches has even affected the way that you have campaigned.  President Trump, you're holding the large rallies with crowds packed together, thousands of people –"
433,DONALD TRUMP:,Outside.
434,CHRIS WALLACE:,"Outside, yes sir, agreed.  Uh, Vice President Biden, you are holding much smaller, uh, events –"
435,DONALD TRUMP:,Because nobody will show up.
436,CHRIS WALLACE:,– with people with masks –
437,DONALD TRUMP:,Well it's true.  Nobody shows up to his rallies.
438,CHRIS WALLACE:,"All right, all right.  In any case, why you holding the big rallies; why you not?  You go first, sir."
439,DONALD TRUMP:,Because people want to hear what I have to say.  I mean –
440,CHRIS WALLACE:,But are you not worried about it spreading the disease?
441,DONALD TRUMP:," – I've done a great job as the President, and I'll have 25, 35,000 people show up at airports.  We use airports and hangars, and we have a lot of people –"
442,CHRIS WALLACE:,"Are you not worried about the disease issues, sir?"
443,DONALD TRUMP:,"Well so far, we have had no problem whatsoever.  It's outside.  That's a big difference according to the experts, and we do them outside.  We have tremendous crowds as you see.  I mean, every – and, and literally on 24 hours' notice, and Joe does the circles and has three people some places."
444,CHRIS WALLACE:,Okay.
445,JOE BIDEN:," But by the way, did you see this, did you see one of the last big rallies he had, and a reporter came up to him to ask him a question.  He said, ""No, no, no, stand back, put on your mask, put on a mask.  Have you been tested?""  I'm way, I'm way far away from those other people.  That's what he said.  I can't, I'm going to be okay.  He's not worried about you.  He's not worried about the people out there breathing on one another –"
446,DONALD TRUMP:,We've had no negative effect.
447,JOE BIDEN:,– (inaudible).  No negative effect?
448,DONALD TRUMP:,"No negative effect.  We've had no negative effect and we've had 35, 40,000 people –"
449,CHRIS WALLACE:,"All right, you want to –"
450,DONALD TRUMP:,– at these rallies.
451,CHRIS WALLACE:,"– just quickly finish up, because I want to move on to our next –"
452,JOE BIDEN:,"Yes, I would.  He's been totally irresponsible the way in which he has handled the, the social distancing and people wearing masks.  Basically encouraging them not to."
453,CHRIS WALLACE:,All right.
454,JOE BIDEN:,He's a fool on this.
455,DONALD TRUMP:,"If you could get the crowds, you would have done the same thing, but you can't.  Nobody cares."
456,CHRIS WALLACE:,"Gentleman, can we move on to the –"
457,DONALD TRUMP:,Nobody cares.
458,CHRIS WALLACE:,"Gentleman, can we move on to the economy?"
459,DONALD TRUMP:,Yes.
460,CHRIS WALLACE:,"The economy is, I think it's fair to say, recovering faster than expected from the shut down –"
461,DONALD TRUMP:,Much faster.
462,CHRIS WALLACE:,"– in the second quarter.  The unemployment rate fell to 8.4 percent last month.  The Federal Reserve says the hit to, to growth, which is going to be there, is not going to be nearly as big as they had expected.  President Trump, you say we are in a V shaped recovery.  Vice President Biden, you say it's more of a K shape.  What difference does that mean to the American people in terms of the economy?  President Trump, in this segment, you go first."
463,DONALD TRUMP:,"So we built the greatest economy in history.  We closed it down because of the China plague.  When the plague came in, we closed it down, which was very hard psychologically to do.  He didn't think we should close it down, and he was wrong – and again 2 million people would be dead now instead of – still 204,000 people is too much.  One person is too much.  Should have never happened from China, but what happened is, we closed it down and now we're re-opening, and we're doing record business.  We had 10.4 million people in a 4month period that we've put back into the work force.  That's a record the likes of which nobody's ever seen before, and he wants to close down the – he will shut it down again.  He will destroy this country.  You know a lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what's happening in some of your Democrat run states where they have these tough shut downs, and I'm telling you it's because they don't want to open it.  One of them came out last week, you saw that, oh, we're going to open up on November 9th.  Why November 9th?  Because it's after the election.  They think they're hurting us by keeping them closed.  They're hurting people.  People know what to do.  They can social distance.  They can wash their hands.  They can wear masks.  They can do whatever they want, but they got to open these states up.  When you look at North Carolina, when you look – and these governors are under siege – Pennsylvania, Michigan and a couple of others, you got to open these states up.  It's not fair.  You're talking about, almost it's like being in prison.  And you look at what's going on with divorce, look at what's going on with alcoholism and drugs.  It's a very, very sad thing, and he'll close down the whole country.  This guy will close down the whole country and destroy our country.  Our country is coming back incredibly well setting records as it does it.  We don't need somebody to come in and say let's shut it down."
464,CHRIS WALLACE:,"All right, your 2 minutes, sir.  We're now moved to you.  As I, as I said posing the question, the President says it's a V-shape recovery.  You say it's a K-shaped recovery.  What's the difference?"
465,JOE BIDEN:,"The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well.  You know, the billionaires have, have made another 300 billion dollars because of his profligate tax, uh, uh, proposal, and he only focuses on the market.  But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing?  This guy paid –"
466,DONALD TRUMP:,Well.
467,JOE BIDEN:,– a total of $750.00 in taxes.  How many –
468,DONALD TRUMP:,That's wrong.  Many millions –  
469,CHRIS WALLACE:,"Sir, sir, wait, wait, no, sir, it's –"
470,DONALD TRUMP:,It's just a wrong statement.
471,CHRIS WALLACE:,"Yeah, I understand.  You've agreed to the 2 minutes.  So please let him have it."
472,JOE BIDEN:,"Do I get my time back?  The fact is that he is, in fact, worked on this in a way that he's going to be the first President of the United States to leave office having fewer jobs in his administration than when he became President.  Fewer jobs than when he became President.  First one in American history.  Secondly, the people who have lost their jobs are those people who have been on the front lines, those people who have been saving our lives, those people who have went out there dying.  People who've been putting themselves in the way to make sure that we could all try to make it, and the idea that he is insisting that we go forward and open, when you have almost half the states in American with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more.  Why's he want to open it up?  Why doesn't he take care of the Amer – you can't fix the economy until you fix the COVID crisis, and he has no intention of doing anything about making it better for you all at home in terms of your health and your safety.  Schools.  Why aren't schools open?  Because it costs a lot of money to open them safely.  You know, they, they were going to give, his administration was going to give the teachers and school students masks.  Then they decided no, couldn't do that because it's not a national emergency.  Not a national emergency.  They've done nothing to help small businesses.  Nothing.  They're closing.  One in six is now gone.  He ought to get on the job and take care of the needs of the American people, so we can open safely."
473,CHRIS WALLACE:,"All right, your time is up, sir.  We are going to get to –"
474,DONALD TRUMP:,"Well, you're going to – I have to respond to that."
475,CHRIS WALLACE:,"Well, you both had 2 minutes, sir."
476,DONALD TRUMP:,Excuse me.  He made a statement.
477,CHRIS WALLACE:,So did you.
478,DONALD TRUMP:,"People want their schools – no, people want their schools open.  They don't want to be shut down.  They don't want their states shut down.  They want their restaurants.  I look at New York.  It's so sad what's happening in New York.  It's almost like a ghost town and I'm not sure it can ever recover what they've done in New York.  People want their places open.  They want to get back to their lives."
479,JOE BIDEN:,People –
480,DONALD TRUMP:,They'll be careful –
481,JOE BIDEN:,– want to be safe.
482,DONALD TRUMP:,– but they want their schools open.
483,CHRIS WALLACE:,Okay.
484,JOE BIDEN:,People want to be safe.
485,DONALD TRUMP:,"I'm the one that brought back football.  By the way I brought back Big Ten football.  It was me, and I'm very happy to do it and –"
486,CHRIS WALLACE:,"All right, that's –"
487,DONALD TRUMP:,"– the people of Ohio are very proud of me, and you know how I found out?  When he took a phony ad.  "
488,CHRIS WALLACE:,"Gentleman, we're going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there's a new report that in 2016, the year you were elected President, and 2017, your first year as President, that you paid $750.00 a year in federal income tax each of those years.  I know that you pay a lot of other taxes, but I'm asking you the specific question.  Is it true that you paid $750.00 in federal income taxes each of those 2 years?"
489,DONALD TRUMP:,"I paid millions of dollars in taxes, millions of dollars of income tax, and let me just tell you.  There was a story in one of the papers –"
490,JOE BIDEN:,Show us your tax returns.
491,DONALD TRUMP:,I paid 38 million dollars one year.  I paid 27 million dollars one year.
492,JOE BIDEN:,Show us your tax returns.
493,DONALD TRUMP:,"I went – uh, you'll see it as soon as it's finished.  You'll see it.  You know if you wanted to, go to the board of elections.  There's 118 page or so report that says everything I have, every bank I have.  I'm totally underleveraged because the assets are extremely good, and we have a very, we have a, I built a great company."
494,CHRIS WALLACE:,"Sir, I'm asking you a specific question, which is –"
495,DONALD TRUMP:,But let me tell you.
496,CHRIS WALLACE:,"No, I understand all of that –"
497,JOE BIDEN:,Release your tax return.
498,DONALD TRUMP:,But let me –
499,CHRIS WALLACE:,"No, Mr. President.  "
500,DONALD TRUMP:,Go ahead.
501,CHRIS WALLACE:,I'm asking you a question.  Will you tell us how much you paid in federal income taxes in 2016 and 2017?
502,DONALD TRUMP:,Millions of dollars.
503,CHRIS WALLACE:,You paid millions of dollars in –
504,DONALD TRUMP:,Millions of dollars.
505,CHRIS WALLACE:,So not 750?
506,DONALD TRUMP:,"Millions of dollars, and you'll get to see it.  And you'll get to see –"
507,JOE BIDEN:,When? 
508,DONALD TRUMP:,"But let me just tell you, Chris, let me just tell you something that it was the tax laws, I don't want to pay tax.  Be, before I came here, I was a private developer.  I was a private business people.  Like every other private person, unless they're stupid, they go through the laws, and that's what it is.  He passed a tax bill that gave us all these privileges for depreciation and for, uh, tax credits.  We built a building, and we get tax credits like the hotel on Pennsylvania Avenue.  You get a massive –"
509,CHRIS WALLACE:,Okay –
510,DONALD TRUMP:,– which by the way was given to me by the Obama Administration if you can believe that.  Now the man got fired –
511,CHRIS WALLACE:,"No, no, no, no."
512,DONALD TRUMP:,"– right after that happened, but –"
513,CHRIS WALLACE:,"Vice President Biden, you want to respond?"
514,JOE BIDEN:,"Yeah, I do want to respond.  Look, the tax code that made him, that put him in a position that he pays less tax than a schoolteacher make, on the money a schoolteacher makes is because of him take – he says he's smart because he can take advantage of the tax code, and he does take advantage of the tax code.  That's why I'm going to eliminate the Trump tax cuts, and we're going to – I'm going to eliminate those tax cuts –"
515,DONALD TRUMP:,That's okay.
516,JOE BIDEN:,– and make sure that we invest in the people who in fact need the help.  People out there need help.
517,DONALD TRUMP:,"But why didn't you do it over, in the last 25 years?"
518,JOE BIDEN:,Because you weren't Pres –
519,DONALD TRUMP:,"No, why didn't you do it over the last 25 years?"
520,JOE BIDEN:,Because you weren't President screwing things up.  
521,DONALD TRUMP:,"No, no, no.  You were a senator and the (inaudible) –"
522,JOE BIDEN:,You are the worst President America has ever had.
523,DONALD TRUMP:,Hey Joe –
524,JOE BIDEN:,Come on.
525,DONALD TRUMP:,"Let me, let me just say, Joe, I've done more in, in 47 months, I've done more than you've done in 47 years, Joe.  We've done things that you never even thought about –"
526,CHRIS WALLACE:,"Okay, gentlemen –"
527,DONALD TRUMP:,– including fixing the broken military that you gave me.
528,CHRIS WALLACE:,"Let's, let's –"
529,DONALD TRUMP:,Including taking care of your vets.
530,CHRIS WALLACE:,"We're talking, Mr. President we're talking about the economy.  I'd like to ask you about your plans going forward because, uh, Mr. Vice President, your economic plan if you were to be elected President, uh, focuses a lot on big government, big taxes, big spending.  I want to focus first on the taxes.  You propose more than 4 trillion dollars over a decade in new taxes on individuals making more than $400,000.00 a year and on corporations.  President Trump says that that kind of an increase in taxes is going to hurt the economy as it's just coming out of a recession."
531,JOE BIDEN:,"Well just take a look at what is the, the analysis done by Wall Street firms points out that my, my economic plan would create 7 million more jobs than his in 4 years, number 1, and number 2, it would create an additional 1 trillion dollars in economic growth because it would be about buying American.  That we have to, we're going to make – the federal government spends 600 billion dollars a year on everything from ships to steel to buildings and the like, and under my proposal, we're going to make sure that every penny of that has to be made by a company in America."
532,CHRIS WALLACE:,"But respectfully sir, I'm talking about taxes, not spending."
533,JOE BIDEN:,"Well, by the way, I'm going to eliminate a significant number of the tax.  I'm going to make the, the corporate tax 28 percent.  It shouldn't be 21 percent.  You have 19 companies, 91 companies, federal, I mean, in the Fortune 500 who don't pay a single penny in tax making billions of dollars."
534,DONALD TRUMP:,Why didn't you do it –
535,JOE BIDEN:,Billions of dollars.
536,DONALD TRUMP:,– before when you were Vice President –
537,JOE BIDEN:,Because –
538,DONALD TRUMP:,– with Obama?
539,JOE BIDEN:,Because you in fact passed that.  That was your tax proposal –
540,DONALD TRUMP:,"That's right.  I got it, I got it done and you know what happened?"
541,JOE BIDEN:,"Yeah, you got it done –"
542,DONALD TRUMP:,Our economy boomed like it's never boomed –
543,JOE BIDEN:,The economy is busted –
544,CHRIS WALLACE:,"Mr. President, let me, no let me –"
545,JOE BIDEN:, Let me finish.
546,CHRIS WALLACE:,"Mr. President, let me pick up on that.  You would continue your free market approach, lower taxes, more de-regulation, correct?"
547,JOE BIDEN:,Not lower tax to the American people.
548,CHRIS WALLACE:,But let me –
549,DONALD TRUMP:,Excuse me.
550,CHRIS WALLACE:,"But in, but in Obama's – you talk about the economy booming, it turns out that in Obama's final 3 years as president, more jobs were created, a million and a half more jobs than in the first 3 years of your presidency."
551,DONALD TRUMP:,"They had the slowest recovery since 19 – economic recovery, since 1929.  It was the slowest recovery.  Also, they took over something that was down here.  All you had to do was turn on the lights, and you picked up a lot, but they had the slowest economic recovery since 1929.  Let me tell you about the stock market.  When the stock market goes up that means jobs.  It also means 401(k)s.  If you got in, if you ever became president with your ideas, you want to terminate my tax, my taxes, I, I'll tell you what, you'll lose half of the companies that have poured in here will leave and plenty of – "
552,JOE BIDEN:,Half of the companies –
553,DONALD TRUMP:,"– companies that are already here, they'll leave for other places.  "
554,JOE BIDEN:,Hardly any companies have –
555,DONALD TRUMP:,"They will leave, and you will have a depression, the likes of which you've never seen.  "
556,JOE BIDEN:,"Look, we inherited –"
557,CHRIS WALLACE:,Mr. Vice President.  
558,JOE BIDEN:,– the worst recession short of a depression in American history.  I was asked to bring it back.  We were able to have an economic recovery that created the jobs you're talking about.  We handed him a booming economy.  He blew it.  
559,DONALD TRUMP:,It wasn't booming.  
560,CHRIS WALLACE:,"He blew it, he blew it.  "
561,DONALD TRUMP:,"It wasn't booming, it was –"
562,JOE BIDEN:,It was a –
563,DONALD TRUMP:,It was the weakest recovery since 1929.  
564,CHRIS WALLACE:,"Well sir, wait, wait.  Is it fair to, is it fair to say he blew it when in fact –  "
565,DONALD TRUMP:,When COVID came in.  
566,CHRIS WALLACE:,– there was record – 
567,JOE BIDEN:,No.  
568,CHRIS WALLACE:,– there was record low unemployment –
569,JOE BIDEN:,Yeah.  
570,CHRIS WALLACE:,– before COVID?  
571,JOE BIDEN:,"Yeah, but, be, because what he did, even before COVID, manufacturing went in the hole.  Manufacturing went in the hole, number one.  "
572,DONALD TRUMP:,"Excuse me, Chris, wait.  "
573,JOE BIDEN:,Number 2.  
574,DONALD TRUMP:,Chris.  
575,JOE BIDEN:,Number 3.  
576,DONALD TRUMP:,"They said it would take – no, you were on number two.  "
577,JOE BIDEN:,No.  
578,DONALD TRUMP:,"Chris, Chris, they said it would take a miracle –"
579,JOE BIDEN:,This guy is a –  
580,DONALD TRUMP:,"– to bring back manufacturing.  I brought back 700,000 jobs, they brought back nothing.  They gave up on manufacturing.  "
581,JOE BIDEN:,We did not –
582,DONALD TRUMP:,Part of my standard fare.  
583,JOE BIDEN:,I'm the guy that brought back the automobile industry.  
584,DONALD TRUMP:,He totally gave up on manufacturing.  
585,CHRIS WALLACE:,"All right, let him – "
586,JOE BIDEN:,"We brought back – I was asked to bring back Chrysler and General Motors.  We brought them back right here in the state of Ohio and Michigan.  He blew it.  They're gone.  He blew it, and in fact, they're going out to –"
587,DONALD TRUMP:,Ohio had the best year it's ever had last year.  
588,JOE BIDEN:,No.  
589,DONALD TRUMP:,Michigan had the best year they've ever had.  
590,JOE BIDEN:,That is not true.  
591,DONALD TRUMP:,"Many car companies came in from Germany, from Japan.  "
592,JOE BIDEN:,"Not, no.  "
593,DONALD TRUMP:,"Went to Michigan, went to Ohio.  "
594,JOE BIDEN:,"No, they're not having the best –"
595,CHRIS WALLACE:,"No, no.  Mr. Vice.  "
596,DONALD TRUMP:,And they didn't come here with you.  
597,CHRIS WALLACE:,"Wait, wait.  Mr. Vice President, go ahead.  "
598,JOE BIDEN:,"And so, you take a look at what he's actually done.  He's done very little.  And it's trade deals, they're the same way.  He talks about these great trade deals.  You know he talks about the art of the deal; China has made, they perfected the art of the steal.  We have a higher deficit with China now than we did before.  We have the highest def, trade deficit with Mexico.  "
599,DONALD TRUMP:,China ate your lunch.  
600,CHRIS WALLACE:,"All right, gentlemen.  "
601,DONALD TRUMP:,Down 18 percent.  
602,CHRIS WALLACE:,"In, in, in –"
603,DONALD TRUMP:,"China ate your lunch, Joe.  And no wonder, your son goes in and he takes out, well he takes out –"
604,JOE BIDEN:,No.  
605,DONALD TRUMP:,"Billions of dollars, takes out billions of dollars to manage.  He makes millions of dollars, and also –"
606,JOE BIDEN:,Simply not true.  
607,DONALD TRUMP:,– while we're at it –
608,JOE BIDEN:,Not true.  
609,DONALD TRUMP:,"– why is it, just out of curiosity, the mayor of Moscow's wife gave your son 3 ½ million dollars?"
610,JOE BIDEN:,That is not true.  
611,DONALD TRUMP:,What did he do to deserve it?  
612,JOE BIDEN:,That is – 
613,DONALD TRUMP:,What did he do with Burisma –  
614,JOE BIDEN:,None of that –
615,DONALD TRUMP:,"– to deserve $183,000.00? "
616,JOE BIDEN:,– is true.  
617,CHRIS WALLACE:,"You have asked, sir, you have asked the question.  Let him answer.  "
618,JOE BIDEN:,"None of that is true.  Not, none of that is true.  "
619,DONALD TRUMP:,Oh really?  He didn't get 3 ½ million?  
620,JOE BIDEN:,"It's totally, totally –"
621,CHRIS WALLACE:,"But no, hey, Mr. President?  "
622,JOE BIDEN:,It's totally –
623,CHRIS WALLACE:,"Mr. President, please, you've asked a question.  "
624,JOE BIDEN:,"Totally discredited.  Totally discredited, and by the way – "
625,DONALD TRUMP:,"Well wait, he didn't get 3 ½ million dollars, Joe?  "
626,CHRIS WALLACE:,Mr. Vice – Mr. President –
627,DONALD TRUMP:,He got 3 ½ million dollars.  
628,JOE BIDEN:,It is not true.  
629,DONALD TRUMP:,Oh really?  Oh.  
630,CHRIS WALLACE:,Mr. President.  
631,JOE BIDEN:,But –
632,CHRIS WALLACE:,"It's an, it's an open discussion.  Please.  "
633,JOE BIDEN: ,No.
634,CHRIS WALLACE:,"You asked, you –"
635,DONALD TRUMP:,It's a fact.  
636,CHRIS WALLACE:,"Well, you have raised an issue.  Let the, Mr. Vice President answer.  "
637,JOE BIDEN:,It has been totally discredited. 
638,DONALD TRUMP:,"Did Burisma pay him 183,000 a month –"
639,JOE BIDEN:,It was a –
640,DONALD TRUMP:,– with no experience in energy?
641,CHRIS WALLACE:,Mr. President –
642,DONALD TRUMP:,"No, no job –"
643,JOE BIDEN:,My son did nothing wrong at Burisma –
644,DONALD TRUMP:,I think he did.
645,JOE BIDEN:,– and –
646,CHRIS WALLACE:,Mr. President –
647,JOE BIDEN:,– the only guy that –
648,CHRIS WALLACE:,– let him answer.
649,JOE BIDEN:,"He doesn't want to let me answer, because he knows I have the truth.  His, his position has been totally, thoroughly discredited –"
650,DONALD TRUMP:,By who?  The media.
651,JOE BIDEN:,"– by everybody.  Well, by the media."
652,DONALD TRUMP:,By the media –
653,JOE BIDEN:,By our allies.
654,DONALD TRUMP:,– because they refuse to –
